step,sim_time_s,wind_speed_mps,load_power_kw
140,140,7.33,68.33
141,141,7.40,68.50
142,142,7.47,68.67
143,143,7.53,68.83
144,144,7.60,69.00
145,145,7.67,69.17
146,146,7.73,69.33
147,147,7.80,69.50
148,148,7.87,69.67
149,149,7.93,69.83
150,150,8.00,70.00
151,151,8.07,70.17
152,152,8.13,70.33
153,153,8.20,70.50
154,154,8.27,70.67
155,155,8.33,70.83
156,156,8.40,71.00
157,157,8.47,71.17
158,158,8.53,71.33
159,159,8.60,71.50
160,160,8.67,71.67
161,161,8.73,71.83
162,162,8.80,72.00
163,163,8.87,72.17
164,164,8.93,72.33
165,165,9.00,72.50
166,166,9.07,72.67
167,167,9.13,72.83
168,168,9.20,73.00
169,169,9.27,73.17
170,170,9.33,73.33
171,171,9.40,73.50
172,172,9.47,73.67
173,173,9.53,73.83
174,174,9.60,74.00
175,175,9.67,74.17
176,176,9.73,74.33
177,177,9.80,74.50
178,178,9.87,74.67
179,179,9.93,74.83
180,180,10.00,75.00
181,181,10.03,74.58
182,182,10.07,74.17
183,183,10.10,73.75
184,184,10.13,73.33
185,185,10.17,72.92
186,186,10.20,72.50
187,187,10.23,72.08
188,188,10.27,71.67
189,189,10.30,71.25
190,190,10.33,70.83
191,191,10.37,70.42
192,192,10.40,70.00
193,193,10.43,69.58
194,194,10.47,69.17
195,195,10.50,68.75
196,196,10.53,68.33
197,197,10.57,67.92
198,198,10.60,67.50
199,199,10.63,67.08
200,200,10.67,66.67
201,201,10.70,66.25
202,202,10.73,65.83
203,203,10.77,65.42
204,204,10.80,65.00
205,205,10.83,64.58
206,206,10.87,64.17
207,207,10.90,63.75
208,208,10.93,63.33
209,209,10.97,62.92
210,210,11.00,62.50
211,211,11.03,62.08
212,212,11.07,61.67
213,213,11.10,61.25
214,214,11.13,60.83
215,215,11.17,60.42
216,216,11.20,60.00
217,217,11.23,59.58
218,218,11.27,59.17
219,219,11.30,58.75
220,220,11.33,58.33
221,221,11.37,57.92
222,222,11.40,57.50
223,223,11.43,57.08
224,224,11.47,56.67
225,225,11.50,56.25
226,226,11.53,55.83
227,227,11.57,55.42
228,228,11.60,55.00
229,229,11.63,54.58
230,230,11.67,54.17
231,231,11.70,53.75
232,232,11.73,53.33
233,233,11.77,52.92
234,234,11.80,52.50
235,235,11.83,52.08
236,236,11.87,51.67
237,237,11.90,51.25
238,238,11.93,50.83
239,239,11.97,50.42
240,240,12.00,50.00
241,241,12.10,49.92
242,242,12.20,49.83
243,243,12.30,49.75
244,244,12.40,49.67
245,245,12.50,49.58
246,246,12.60,49.50
247,247,12.70,49.42
248,248,12.80,49.33
249,249,12.90,49.25
250,250,13.00,49.17
251,251,13.10,49.08
252,252,13.20,49.00
253,253,13.30,48.92
254,254,13.40,48.83
255,255,13.50,48.75
256,256,13.60,48.67
257,257,13.70,48.58
258,258,13.80,48.50
259,259,13.90,48.42
260,260,14.00,48.33
261,261,14.10,48.25
262,262,14.20,48.17
263,263,14.30,48.08
264,264,14.40,48.00
265,265,14.50,47.92
266,266,14.60,47.83
267,267,14.70,47.75
268,268,14.80,47.67
269,269,14.90,47.58
270,270,15.00,47.50
271,271,15.10,47.42
272,272,15.20,47.33
273,273,15.30,47.25
274,274,15.40,47.17
275,275,15.50,47.08
276,276,15.60,47.00
277,277,15.70,46.92
278,278,15.80,46.83
279,279,15.90,46.75
280,280,16.00,46.67
281,281,16.10,46.58
282,282,16.20,46.50
283,283,16.30,46.42
284,284,16.40,46.33
285,285,16.50,46.25
286,286,16.60,46.17
287,287,16.70,46.08
288,288,16.80,46.00
289,289,16.90,45.92
290,290,17.00,45.83
291,291,17.10,45.75
292,292,17.20,45.67
293,293,17.30,45.58
294,294,17.40,45.50
295,295,17.50,45.42
296,296,17.60,45.33
297,297,17.70,45.25
298,298,17.80,45.17
299,299,17.90,45.08
300,300,18.00,45.00
301,301,18.13,45.92
302,302,18.27,46.83
303,303,18.40,47.75
304,304,18.53,48.67
305,305,18.67,49.58
306,306,18.80,50.50
307,307,18.93,51.42
308,308,19.07,52.33
309,309,19.20,53.25
310,310,19.33,54.17
311,311,19.47,55.08
312,312,19.60,56.00
313,313,19.73,56.92
314,314,19.87,57.83
315,315,20.00,58.75
316,316,20.13,59.67
317,317,20.27,60.58
318,318,20.40,61.50
319,319,20.53,62.42
320,320,20.67,63.33
321,321,20.80,64.25
322,322,20.93,65.17
323,323,21.07,66.08
324,324,21.20,67.00
325,325,21.33,67.92
326,326,21.47,68.83
327,327,21.60,69.75
328,328,21.73,70.67
329,329,21.87,71.58
330,330,22.00,72.50
331,331,22.13,73.42
332,332,22.27,74.33
333,333,22.40,75.25
334,334,22.53,76.17
335,335,22.67,77.08
336,336,22.80,78.00
337,337,22.93,78.92
338,338,23.07,79.83
339,339,23.20,80.75
340,340,23.33,81.67
341,341,23.47,82.58
342,342,23.60,83.50
343,343,23.73,84.42
344,344,23.87,85.33
345,345,24.00,86.25
346,346,24.13,87.17
347,347,24.27,88.08
348,348,24.40,89.00
349,349,24.53,89.92
350,350,24.67,90.83
351,351,24.80,91.75
352,352,24.93,92.67
353,353,25.07,93.58
354,354,25.20,94.50
355,355,25.33,95.42
356,356,25.47,96.33
357,357,25.60,97.25
358,358,25.73,98.17
359,359,25.87,99.08
360,360,26.00,100.00
361,361,26.00,100.50
362,362,26.00,101.00
363,363,26.00,101.50
364,364,26.00,102.00
365,365,26.00,102.50
366,366,26.00,103.00
367,367,26.00,103.50
368,368,26.00,104.00
369,369,26.00,104.50
370,370,26.00,105.00
371,371,26.00,105.50
372,372,26.00,106.00
373,373,26.00,106.50
374,374,26.00,107.00
375,375,26.00,107.50
376,376,26.00,108.00
377,377,26.00,108.50
378,378,26.00,109.00
379,379,26.00,109.50
380,380,26.00,110.00
381,381,26.00,110.50
382,382,26.00,111.00
383,383,26.00,111.50
384,384,26.00,112.00
385,385,26.00,112.50
386,386,26.00,113.00
387,387,26.00,113.50
388,388,26.00,114.00
389,389,26.00,114.50
390,390,26.00,115.00
391,391,26.00,115.50
392,392,26.00,116.00
393,393,26.00,116.50
394,394,26.00,117.00
395,395,26.00,117.50
396,396,26.00,118.00
397,397,26.00,118.50
398,398,26.00,119.00
399,399,26.00,119.50
400,400,26.00,120.00
401,401,26.00,120.50
402,402,26.00,121.00
403,403,26.00,121.50
404,404,26.00,122.00
405,405,26.00,122.50
406,406,26.00,123.00
407,407,26.00,123.50
408,408,26.00,124.00
409,409,26.00,124.50
410,410,26.00,125.00
411,411,26.00,125.50
412,412,26.00,126.00
413,413,26.00,126.50
414,414,26.00,127.00
415,415,26.00,127.50
416,416,26.00,128.00
417,417,26.00,128.50
418,418,26.00,129.00
419,419,26.00,129.50
420,420,26.00,130.00
421,421,25.93,129.50
422,422,25.87,129.00
423,423,25.80,128.50
424,424,25.73,128.00
425,425,25.67,127.50
426,426,25.60,127.00
427,427,25.53,126.50
428,428,25.47,126.00
429,429,25.40,125.50
430,430,25.33,125.00
431,431,25.27,124.50
432,432,25.20,124.00
433,433,25.13,123.50
434,434,25.07,123.00
435,435,25.00,122.50
436,436,24.93,122.00
437,437,24.87,121.50
438,438,24.80,121.00
439,439,24.73,120.50
440,440,24.67,120.00
441,441,24.60,119.50
442,442,24.53,119.00
443,443,24.47,118.50
444,444,24.40,118.00
445,445,24.33,117.50
446,446,24.27,117.00
447,447,24.20,116.50
448,448,24.13,116.00
449,449,24.07,115.50
450,450,24.00,115.00
451,451,23.77,114.50
452,452,23.53,114.00
453,453,23.30,113.50
454,454,23.07,113.00
455,455,22.83,112.50
456,456,22.60,112.00
457,457,22.37,111.50
458,458,22.13,111.00
459,459,21.90,110.50
460,460,21.67,110.00
461,461,21.43,109.50
462,462,21.20,109.00
463,463,20.97,108.50
464,464,20.73,108.00
465,465,20.50,107.50
466,466,20.27,107.00
467,467,20.03,106.50
468,468,19.80,106.00
469,469,19.57,105.50
470,470,19.33,105.00
471,471,19.10,104.50
472,472,18.87,104.00
473,473,18.63,103.50
474,474,18.40,103.00
475,475,18.17,102.50
476,476,17.93,102.00
477,477,17.70,101.50
478,478,17.47,101.00
479,479,17.23,100.50
480,480,17.00,100.00
481,481,16.77,99.50
482,482,16.53,99.00
483,483,16.30,98.50
484,484,16.07,98.00
485,485,15.83,97.50
486,486,15.60,97.00
487,487,15.37,96.50
488,488,15.13,96.00
489,489,14.90,95.50
490,490,14.67,95.00
491,491,14.43,94.50
492,492,14.20,94.00
493,493,13.97,93.50
494,494,13.73,93.00
495,495,13.50,92.50
496,496,13.27,92.00
497,497,13.03,91.50
498,498,12.80,91.00
499,499,12.57,90.50
500,500,12.33,90.00
501,501,12.10,89.50
502,502,11.87,89.00
503,503,11.63,88.50
504,504,11.40,88.00
505,505,11.17,87.50
506,506,10.93,87.00
507,507,10.70,86.50
508,508,10.47,86.00
509,509,10.23,85.50
510,510,10.00,85.00
511,511,9.93,84.50
512,512,9.87,84.00
513,513,9.80,83.50
514,514,9.73,83.00
515,515,9.67,82.50
516,516,9.60,82.00
517,517,9.53,81.50
518,518,9.47,81.00
519,519,9.40,80.50
520,520,9.33,80.00
521,521,9.27,79.50
522,522,9.20,79.00
523,523,9.13,78.50
524,524,9.07,78.00
525,525,9.00,77.50
526,526,8.93,77.00
527,527,8.87,76.50
528,528,8.80,76.00
529,529,8.73,75.50
530,530,8.67,75.00
531,531,8.60,74.50
532,532,8.53,74.00
533,533,8.47,73.50
534,534,8.40,73.00
535,535,8.33,72.50
536,536,8.27,72.00
537,537,8.20,71.50
538,538,8.13,71.00
539,539,8.07,70.50
540,540,8.00,70.00
541,541,7.87,69.75
542,542,7.73,69.50
543,543,7.60,69.25
544,544,7.47,69.00
545,545,7.33,68.75
546,546,7.20,68.50
547,547,7.07,68.25
548,548,6.93,68.00
549,549,6.80,67.75
550,550,6.67,67.50
551,551,6.53,67.25
552,552,6.40,67.00
553,553,6.27,66.75
554,554,6.13,66.50
555,555,6.00,66.25
556,556,5.87,66.00
557,557,5.73,65.75
558,558,5.60,65.50
559,559,5.47,65.25
560,560,5.33,65.00
561,561,5.20,64.75
562,562,5.07,64.50
563,563,4.93,64.25
564,564,4.80,64.00
565,565,4.67,63.75
566,566,4.53,63.50
567,567,4.40,63.25
568,568,4.27,63.00
569,569,4.13,62.75
570,570,4.00,62.50
571,571,3.87,62.25
572,572,3.73,62.00
573,573,3.60,61.75
574,574,3.47,61.50
575,575,3.33,61.25
576,576,3.20,61.00
577,577,3.07,60.75
578,578,2.93,60.50
579,579,2.80,60.25
580,580,2.67,60.00
581,581,2.53,59.75
582,582,2.40,59.50
583,583,2.27,59.25
584,584,2.13,59.00
585,585,2.00,58.75
586,586,1.87,58.50
587,587,1.73,58.25
588,588,1.60,58.00
589,589,1.47,57.75
590,590,1.33,57.50
591,591,1.20,57.25
592,592,1.07,57.00
593,593,0.93,56.75
594,594,0.80,56.50
595,595,0.67,56.25
596,596,0.53,56.00
597,597,0.40,55.75
598,598,0.27,55.50
599,599,0.13,55.25
600,600,0.00,55.00

